V2.4 SHORELINES + HYDROGRAPHY MASTER


===== FILE: METRO__shoreline_metro.csv =====
SHA256: 2f8f940a4ba6986c32e996d03d1d0bbbfcc251c11ca4ddb58547d266c7274247
SIZE: 27763 bytes
-----BEGIN-----
row,landmass,west_col,east_col
70,StatenIsland,160,160
70,Brooklyn,380,380
71,StatenIsland,145,175
71,Brooklyn,363,397
72,StatenIsland,140,180
72,Brooklyn,355,405
73,StatenIsland,135,185
73,Brooklyn,350,410
74,StatenIsland,131,189
74,Brooklyn,345,415
75,StatenIsland,128,192
75,Brooklyn,341,419
76,StatenIsland,125,195
76,Brooklyn,338,422
77,StatenIsland,122,198
77,Brooklyn,335,425
78,StatenIsland,120,200
78,Brooklyn,332,428
79,StatenIsland,117,203
79,Brooklyn,329,431
80,StatenIsland,115,205
80,Brooklyn,326,434
81,StatenIsland,113,207
81,Brooklyn,324,436
82,StatenIsland,111,209
82,Brooklyn,321,439
83,StatenIsland,110,210
83,Brooklyn,319,441
84,StatenIsland,108,212
84,Brooklyn,317,443
85,StatenIsland,106,214
85,Brooklyn,315,445
86,StatenIsland,105,215
86,Brooklyn,313,447
87,StatenIsland,103,217
87,Brooklyn,311,449
88,StatenIsland,102,218
88,Brooklyn,309,451
89,StatenIsland,100,220
89,Brooklyn,307,453
90,StatenIsland,99,221
90,Brooklyn,305,455
91,StatenIsland,97,223
91,Brooklyn,304,456
92,StatenIsland,96,224
92,Brooklyn,302,458
93,StatenIsland,95,225
93,Brooklyn,301,459
94,StatenIsland,94,226
94,Brooklyn,299,461
95,StatenIsland,93,227
95,Brooklyn,298,462
96,StatenIsland,92,228
96,Brooklyn,296,464
97,StatenIsland,91,229
97,Brooklyn,295,465
98,StatenIsland,90,230
98,Brooklyn,293,467
99,StatenIsland,89,231
99,Brooklyn,292,468
100,StatenIsland,88,232
100,Brooklyn,291,469
101,StatenIsland,87,233
101,Brooklyn,289,471
102,StatenIsland,86,234
102,Brooklyn,288,472
103,StatenIsland,85,235
103,Brooklyn,287,473
104,StatenIsland,84,236
104,Brooklyn,286,474
105,StatenIsland,83,237
105,Brooklyn,285,475
106,StatenIsland,82,238
106,Brooklyn,284,476
107,StatenIsland,82,238
107,Brooklyn,283,477
108,StatenIsland,81,239
108,Brooklyn,281,479
109,StatenIsland,80,240
109,Brooklyn,280,480
110,StatenIsland,79,241
